Beta\Number of generative factors,1,2,3,4,5,6,7
1,100.0(0.0),100.0(0.0),80.8(8.6),81.9(7.1),,,
2,100.0(0.0),99.8(0.2),82.7(3.4),90.2(5.6),,,
4,100.0(0.0),100.0(0.0),86.5(0.5),79.7(3.6),,,
8,100.0(0.0),96.9(3.1),87.7(0.1),91.9(0.6),,,
