Beta\Number of generative factors,1,2,3,4,5,6,7
1,100.0(0.0),100.0(0.0),78.8(6.5),69.8(5.2),,,
2,100.0(0.0),96.6(3.4),82.2(3.5),82.9(2.4),,,
4,100.0(0.0),100.0(0.0),86.1(0.3),74.8(5.5),,,
8,100.0(0.0),94.1(5.9),87.7(0.1),85.5(2.6),,,
